	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_7	OTU_92	OTU_8	OTU_32	OTU_28	OTU_68	OTU_397	OTU_93	OTU_88	OTU_51	OTU_36	OTU_34	OTU_3	OTU_22	OTU_44
OTU_54	22	22	22	19	21	22	22	17	22	19	17	22	17	10	18	22	13	11	19	22	7	10	15	9	18	10	13	18	20	10	14	7	8	6	18	11	13	7	9	11	12	6	9	8	13	9	7	0	6	3	0	0	3	3	2
OTU_46	26	26	26	25	25	20	26	22	9	6	17	24	23	16	13	25	19	15	23	7	26	24	19	10	20	16	21	25	21	21	22	17	7	22	25	5	5	18	12	16	14	12	15	7	15	8	6	16	9	9	12	17	16	11	15
OTU_14	40	40	40	39	37	31	40	31	16	13	29	38	33	25	21	39	27	23	34	10	24	40	27	16	29	26	33	35	33	32	31	26	13	34	37	10	11	21	21	27	19	13	26	14	29	10	11	20	10	12	19	24	26	17	19
OTU_30	42	42	42	40	40	36	42	35	26	22	29	40	33	20	27	42	35	18	37	15	19	27	42	18	32	25	27	38	37	27	32	20	12	24	35	16	17	18	19	26	21	16	19	10	25	14	13	15	13	13	11	16	19	14	15
OTU_15	31	31	31	30	27	27	31	26	19	16	21	30	23	19	16	30	16	17	24	9	10	16	18	31	20	15	20	26	25	17	16	21	10	14	21	12	15	10	21	25	14	9	16	16	24	13	13	11	16	12	13	12	15	9	11
OTU_69	46	46	46	44	45	40	46	38	28	23	33	43	39	23	29	46	32	25	43	18	20	29	32	20	46	26	34	43	42	30	32	21	17	26	41	18	21	20	20	31	24	17	20	12	29	15	10	16	13	9	12	20	23	15	15
OTU_16	37	37	37	34	34	30	37	27	21	16	29	34	27	22	24	36	26	16	29	10	16	26	25	15	26	37	30	30	29	32	25	21	13	22	33	17	14	17	21	26	9	12	23	11	26	10	12	15	13	10	12	16	22	16	16
OTU_67	45	45	45	44	42	36	45	37	23	19	32	42	38	31	25	44	27	28	40	13	21	33	27	20	34	30	45	38	38	31	32	26	13	28	41	13	14	24	24	31	18	16	25	15	31	13	10	21	14	13	19	23	28	19	19
OTU_33	54	54	54	52	52	45	54	45	29	24	37	51	46	29	29	54	37	29	47	18	25	35	38	26	43	30	38	54	48	34	38	29	18	32	46	19	24	23	26	37	29	19	26	18	35	19	16	22	18	17	20	26	29	19	20
OTU_18	54	54	54	52	53	46	54	42	33	28	40	52	44	28	29	54	36	28	46	20	21	33	37	25	42	29	38	48	54	31	36	26	20	29	42	21	26	21	28	36	26	19	25	20	34	18	15	18	18	17	18	22	24	16	17
OTU_6	40	40	40	37	36	33	40	30	19	14	31	38	30	22	24	39	26	20	33	10	21	32	27	17	30	32	31	34	31	40	30	26	13	29	37	14	13	21	21	28	17	12	28	13	30	11	13	20	12	10	16	21	27	18	19
