	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_7	OTU_92	OTU_8	OTU_32	OTU_28	OTU_68	OTU_397	OTU_93	OTU_88	OTU_51	OTU_36	OTU_34	OTU_3	OTU_22	OTU_44
OTU_17	0.442610634250583	0.794597013539438	0.696884777546015	0.909487650671654	0.440862867842015	0.701236734172757	0.354388078505065	0.263981467339684	0.553070385443684	0.830863705575532	0.721799378857265	0.264166173947718	0.231613585946975	NA	0.0299313279016542	0.138266656879617	0.714591538395641	0.102643787315441	0.275239836299598	0.319189832562489	0.914345693614838	0.394535664656418	0.42566758718324	0.139635959379639	0.889175945844537	0.904833684048193	0.239242575961436	0.386645005687883	0.293010907926183	0.722118678633346	0.337940738838439	0.141785013055556	0.289699255208913	0.616065306281185	0.00172386316245277	0.762025784728061	0.342518733902028	0.352196756526225	0.0796443593861085	0.0910330899312313	0.0280221360382429	0.45558666224859	0.205155435224856	0.983170806109755	0.72993894831328	0.198643690389114	0.645639399603356	0.292590629717858	0.687739324011355	0.883858638915842	0.0825789016015674	0.175796186149446	0.723192635780106	0.816223288985634	0.697832136217096
OTU_12	0.108638190880876	0.455532001292728	0.738612982572634	0.0220228480798981	0.492196649565193	0.539191326668934	0.311614651886062	0.00042001831145777	0.0897080313863468	0.0381700849934963	0.872814176923754	0.335569834362202	0.202891328496494	0.0299313279016542	NA	0.508195913967247	0.00878830997571489	0.000794800031265197	0.227765331799667	0.385379436354174	0.944289651616239	0.624236143494684	0.748291322745416	0.333493543345513	0.535453574869495	0.443471753172277	0.731687032699185	0.343576500093306	8.37874637524827e-05	0.963322539711704	0.865562539802976	0.446998992526473	0.702165885409209	0.516109028817963	0.361454518292981	0.348340277783359	0.687267208733912	0.807550030048182	0.970674492607845	0.0282836299943268	0.0833192626351917	0.0726302784069723	0.41724119439721	0.167798081159123	0.561381770965304	0.0968378872895974	0.992131451618306	0.852052156360831	0.78807325369576	0.954470705203945	0.556380177899633	0.25132938174372	0.912484700257977	0.895823062795386	0.145510618220024
OTU_10	0.0307965750042742	0.00815923017716713	0.0190970547286176	0.0638444973837244	0.00234873347446984	0.000348199418505502	0.608129379552873	0.157529068006584	0.134056774722049	0.220315145824192	0.496147203290292	0.410636965704268	0.0410908652035198	0.138266656879617	0.508195913967247	NA	0.288693010556067	0.554671394150823	0.253376940970004	0.303355128506566	0.865343473808901	0.37074055893435	0.112520812543569	0.243963512490777	0.0560769647935602	0.136557327702461	0.416341510827337	0.0836173192941512	0.668443242166944	0.295943446608386	0.665816411299492	0.852665319748356	0.0489720829954976	0.641046821479463	0.887662226916879	0.440610200033432	0.0371035276067757	0.324304443128944	0.978265566893067	0.756713594259117	0.00615081902947012	0.037038471555628	0.00374967845638396	0.413530929394638	0.416482033485071	0.825052532986271	0.513283330228548	0.0330426217688089	0.676323603619911	0.269428681945285	0.429008415994061	0.0291107148364014	0.0481998367433814	0.0822627471044295	0.643557093981381
OTU_19	0.00136323639673153	0.0243011581244925	0.106954715237955	0.0180270203754567	0.587182601394847	0.419642424874714	0.0562513510005269	0.00515464523083287	0.389958388858063	0.374591759707115	0.710924350124891	0.154391889129586	0.207618797539685	0.714591538395641	0.00878830997571489	0.288693010556067	NA	0.00470594530491608	0.00622547427295217	0.253594697485297	0.937052164874933	0.127093322485734	0.0183212080739452	0.942101854542861	0.603915626219672	0.0213215397572502	0.0018856446454536	0.565590995729994	5.77616696961769e-05	0.0898335160409771	0.991068653412306	0.22997778763099	0.99553142610442	0.15147374709959	0.752156869008515	0.842233840927016	0.900596072073741	0.855046745650764	0.997591764528325	0.792687191894601	0.279514925631187	0.00887537475492461	0.134387119722823	0.684181958374423	0.637575158338286	0.918606560260026	0.100682008993194	0.797331349945201	0.580823636086838	0.267118119891121	0.0134757036606652	0.290713807584434	0.84592952429878	0.848701493264206	0.163972314731987
OTU_11	0.304994268531479	0.883078731120051	0.149982535306454	0.0104016090346248	0.356053208797295	0.292572705967826	0.896847045315146	0.0051128811588419	0.632388835568744	0.771955774580513	0.375795373351766	0.261915362640441	0.67299045035116	0.102643787315441	0.000794800031265197	0.554671394150823	0.00470594530491608	NA	0.749769361823905	0.317087020601079	0.966306013728461	0.878605800438873	0.656792698743983	0.159974314174812	0.631239426195799	0.133884435275011	0.871245983694947	0.365032171828351	0.00281591972557149	0.0503056791753247	0.772392703370763	0.279405428252058	0.220977239587594	0.455237828253663	0.0624152875428443	0.0716054794785979	0.632807564069006	0.14495769927239	0.469031235430132	0.876063497742978	0.640339291388537	0.142481306811619	0.700230211504038	0.918542057362477	0.258500639320513	0.599861405242755	0.702864826418325	0.80791023856324	0.777004357768452	0.931242752773501	0.0818102050769425	0.250907000181178	0.297995559565676	0.323974261958974	0.304947430893396
OTU_57	6.66108981055569e-05	0.000885344066476446	0.0031609737512901	0.612979684404565	0.0187245416921145	0.00372587515089196	0.0034729628832022	0.0153212143856523	0.526792745532161	0.721925731335273	0.776232968540236	0.0294096558556092	0.0761728141455658	0.275239836299598	0.227765331799667	0.253376940970004	0.00622547427295217	0.749769361823905	NA	0.150374136663372	0.952382364821123	0.173263712143601	0.155445820820349	0.788031106480972	2.57280384130532e-05	0.0101019538362572	0.0441109007338834	0.500857893337318	0.0343522282351656	0.284347036840012	0.199310511197012	0.0786977877370774	0.0746986149496749	0.683193265652603	0.862249914330675	0.145732849832937	0.359486950721239	0.165339688143804	0.698830226279281	0.00403028422505303	0.00472374406550524	0.222171133402672	0.0948486473159753	0.574516599144707	0.0611985738687499	0.197867394503599	0.487902369258857	0.112433444507122	0.370336817983721	0.930969423790982	0.018768374645834	0.00415815571015843	0.00327442681754841	0.121295589563265	0.515614860880953
OTU_54	0.524280765470014	0.0249216655135487	0.0326080745845134	0.172826833165565	0.638925293299951	0.461010759896787	0.957945642015566	0.197815253926796	0.00148937454542519	0.141854904012124	0.93154026890463	0.347063354139616	0.939827192811854	0.319189832562489	0.385379436354174	0.303355128506566	0.253594697485297	0.317087020601079	0.150374136663372	NA	0.0741793791995669	0.932613671511036	0.884426736786224	0.985109642434888	0.668023851493075	0.51971986597554	0.587833292725644	0.205045198309843	0.503583402540711	0.95675916003378	0.173597314727946	0.375905830089494	0.743507135388571	0.490793283420861	0.566973296997237	0.0631670450571882	0.587673235310397	0.806436849171658	0.764704630528986	0.702638860404001	0.644613519859102	0.036237202001292	0.126282687600068	0.96867885785383	0.965322741564407	0.700766369457331	0.593215929461726	NA	0.579187476442569	0.979871680339233	NA	NA	0.767623920068903	0.339441520044653	NA
OTU_46	0.401346866513941	0.608670301810858	0.599838237261831	0.502298864276254	0.892705946475378	0.110715442516763	0.0635124048242277	0.376311605399101	0.195071722928757	0.611933816939127	0.504069603606757	0.450426712522251	0.262577187522716	0.914345693614838	0.944289651616239	0.865343473808901	0.937052164874933	0.966306013728461	0.952382364821123	0.0741793791995669	NA	0.00190767144832638	0.625084716399356	0.231513533462286	0.411727516246273	0.818292404822294	0.268120104538509	0.0970403729695419	0.403386941543002	0.483153374375924	0.544046951223548	0.753646336576908	0.763253250624158	0.00536722344710783	0.0491351941026685	0.770770875014135	0.629580505331843	0.628649699458665	0.0611239608523793	0.198504234972101	0.22588254394614	0.348842095720652	0.0886389631856335	0.0397533016710603	0.152139875130168	0.32423185050366	0.121715601667835	0.0303143738178209	0.646701986282773	0.556716724051517	0.154182522768985	0.111536443649716	0.643216130447712	0.892544382804452	0.607368581963925
OTU_14	0.447109854694056	0.367821157828954	0.120806052460873	0.0053332016806904	0.328068826536339	0.421163301726606	9.29986856190723e-06	0.742236215038863	0.265852400579612	0.294626574563339	0.000611695932063006	0.0383707634553041	0.015983067048432	0.394535664656418	0.624236143494684	0.37074055893435	0.127093322485734	0.878605800438873	0.173263712143601	0.932613671511036	0.00190767144832638	NA	0.578034096865447	0.701831535651511	0.632441155417497	0.207797588002168	8.72308870802918e-06	0.0252257084821872	0.239816939025829	0.0125763495203373	0.198287526058155	0.314973323562256	0.0395903988936537	0	5.78403448847631e-06	0.583375546063816	0.175650291704902	0.560017147587703	0.0984912703492968	0.0102140751337034	0.322617202452146	0.243146050906891	0.0574197619091228	0.180329900578653	0.00548903956614488	0.239378905893639	0.756109600103091	0.906899998009343	0.741856326259053	0.512016595497191	0.565253745162276	0.0465029964153354	0.173868151946077	0.45933266428592	0.11459696934954
OTU_30	0.209053430811638	0.257260664684215	0.519705950585448	0.776662634992307	0.102238339286217	0.847403079124736	0.822663597574291	0.860469666500056	0.135087723237498	0.589937762340082	0.28935256307227	0.760092288352522	0.825692660663092	0.42566758718324	0.748291322745416	0.112520812543569	0.0183212080739452	0.656792698743983	0.155445820820349	0.884426736786224	0.625084716399356	0.578034096865447	NA	0.00545451840463196	0.984771607091467	0.837649571709458	0.762160873983532	0.166699098139677	0.569883030165816	0.283864385971152	0.254483614910617	0.324387195710774	0.225763784870502	0.415864792431653	0.88069780188001	0.631089207513084	0.292170144273782	0.439098055398468	0.996469644626464	0.872293684972106	0.13629013211801	0.192230882445763	0.680867515055586	0.910354223977715	0.421040324424121	0.647039700756156	0.987697883675364	0.919723573582676	0.766836895266245	0.662045214364987	0.718185586093546	0.0171244833854245	0.323151351977951	0.00259015936073625	0.930222720608884
OTU_15	0.807812830110825	0.461235400981949	0.264709401098772	0.882289501629374	0.928267498899078	0.391529427503231	0.939813816244309	0.798622784858999	0.158543995096967	0.252927259406035	0.77144622028627	0.914753872056354	0.773682075411084	0.139635959379639	0.333493543345513	0.243963512490777	0.942101854542861	0.159974314174812	0.788031106480972	0.985109642434888	0.231513533462286	0.701831535651511	0.00545451840463196	NA	0.919057863837528	0.394444397109687	0.526385998124104	0.138546362712773	0.653834133302351	0.38890485276881	0.364064995805457	0.0576483829213985	0.0439559919824499	0.683446635406234	0.37143978894322	0.604167174687739	0.340324012788684	0.347174915503128	0.557008826289241	0.855618356407916	0.537383504716499	0.244994325392708	0.985264713110941	0.661312363168205	0.101879358576306	0.40473646222597	0.458636520482103	0.434122077067445	0.751133676769185	0.914089812270598	0.127587825051288	0.294567487896472	0.488220570661592	0.503143337076302	0.934410939907637
OTU_69	0.0156509343345426	0.0275561168164269	0.0949423278259069	0.955245591491653	0.0341843755452462	0.00422249688783505	0.148846774553885	0.0526223984423138	0.296923378007043	0.815415770821725	0.749586599893495	0.423664366733407	0.00354471833598025	0.889175945844537	0.535453574869495	0.0560769647935602	0.603915626219672	0.631239426195799	2.57280384130532e-05	0.668023851493075	0.411727516246273	0.632441155417497	0.984771607091467	0.919057863837528	NA	0.0386560936940916	0.441259125519712	0.350274409325416	0.849255205413361	0.335335847531149	0.964177614457816	0.114213902323002	0.357211418502524	0.945957013364263	0.76285272784402	0.320323721206761	0.466721863239854	0.998211174734863	0.0922680844192434	0.384016967075308	0.123455548704822	0.938625155008767	0.156699583222767	0.231025510425795	0.1400815913016	0.0804329874974479	0.473193265630755	0.145092596760573	0.84313045556758	0.667795673650637	0.0965995065593854	0.101470530483947	0.0557574705625294	0.206154477216819	0.403750750367771
OTU_16	0.171626949488879	0.0558378746637902	0.157822138630239	0.265621357897244	0.31206189562919	0.0691509741150791	0.411484547233731	0.0727726046133892	0.0374710288249296	0.0470397406374119	0.355556200130294	0.442874123953101	0.496388814314394	0.904833684048193	0.443471753172277	0.136557327702461	0.0213215397572502	0.133884435275011	0.0101019538362572	0.51971986597554	0.818292404822294	0.207797588002168	0.837649571709458	0.394444397109687	0.0386560936940916	NA	0.0537436224437693	0.923827593219369	0.0692065044693682	0.375331205639719	0.756079070726713	0.536236699001989	0.546628266533309	0.144909064844998	0.623144050486368	0.428607466503349	0.988110092325756	0.0912446701570282	0.577685699641828	0.328031972410755	0.954237344758109	0.651953217681034	0.19196515968115	0.963462134719344	0.668348539120411	0.92839339137317	0.293411478602438	0.00193777079969903	0.00551990330617746	0.377909411630417	0.0859342296391636	0.747788295544871	0.625857119904954	0.646343931082859	0.0225168212729636
