	measure	Group1	Group2	pvalue	corrected
192	o__Desulfovibrionales	10_cre	7_wt	1	1
193	o__Desulfovibrionales	10_cre	9_cre	NA	NA
194	o__Desulfovibrionales	10_cre	9_wt	0.5	1
195	o__Desulfovibrionales	10_wt	12_cre	0.75	1
196	o__Desulfovibrionales	10_wt	12_wt	1	1
197	o__Desulfovibrionales	10_wt	5_cre	NA	NA
198	o__Desulfovibrionales	10_wt	5_wt	1	1
199	o__Desulfovibrionales	10_wt	7_cre	1	1
200	o__Desulfovibrionales	10_wt	7_wt	1	1
201	o__Desulfovibrionales	10_wt	9_cre	1	1
202	o__Desulfovibrionales	10_wt	9_wt	1	1
203	o__Desulfovibrionales	12_cre	12_wt	1	1
204	o__Desulfovibrionales	12_cre	5_cre	NA	NA
205	o__Desulfovibrionales	12_cre	5_wt	1	1
206	o__Desulfovibrionales	12_cre	7_cre	0.5	1
207	o__Desulfovibrionales	12_cre	7_wt	1	1
208	o__Desulfovibrionales	12_cre	9_cre	1	1
209	o__Desulfovibrionales	12_cre	9_wt	1	1
210	o__Desulfovibrionales	12_wt	5_cre	NA	NA
211	o__Desulfovibrionales	12_wt	5_wt	0.5	1
212	o__Desulfovibrionales	12_wt	7_cre	1	1
213	o__Desulfovibrionales	12_wt	7_wt	1	1
214	o__Desulfovibrionales	12_wt	9_cre	NA	NA
215	o__Desulfovibrionales	12_wt	9_wt	0.75	1
216	o__Desulfovibrionales	5_cre	5_wt	NA	NA
217	o__Desulfovibrionales	5_cre	7_cre	1	1
218	o__Desulfovibrionales	5_cre	7_wt	NA	NA
219	o__Desulfovibrionales	5_cre	9_cre	NA	NA
220	o__Desulfovibrionales	5_cre	9_wt	1	1
221	o__Desulfovibrionales	5_wt	7_cre	NA	NA
222	o__Desulfovibrionales	5_wt	7_wt	NA	NA
223	o__Desulfovibrionales	5_wt	9_cre	NA	NA
224	o__Desulfovibrionales	5_wt	9_wt	1	1
225	o__Desulfovibrionales	7_cre	7_wt	1	1
226	o__Desulfovibrionales	7_cre	9_cre	1	1
227	o__Desulfovibrionales	7_cre	9_wt	1	1
228	o__Desulfovibrionales	7_wt	9_cre	1	1
229	o__Desulfovibrionales	7_wt	9_wt	1	1
230	o__Desulfovibrionales	9_cre	9_wt	NA	NA
231	f__Anaeroplasmataceae	 -	- 	0.0206	0.1991
232	f__Anaeroplasmataceae	10_cre	10_wt	NA	NA
233	f__Anaeroplasmataceae	10_cre	12_cre	NA	NA
234	f__Anaeroplasmataceae	10_cre	12_wt	1	1
235	f__Anaeroplasmataceae	10_cre	5_cre	1	1
236	f__Anaeroplasmataceae	10_cre	5_wt	1	1
237	f__Anaeroplasmataceae	10_cre	7_cre	NA	NA
238	f__Anaeroplasmataceae	10_cre	7_wt	NA	NA
239	f__Anaeroplasmataceae	10_cre	9_cre	1	1
240	f__Anaeroplasmataceae	10_cre	9_wt	1	1
241	f__Anaeroplasmataceae	10_wt	12_cre	NA	NA
242	f__Anaeroplasmataceae	10_wt	12_wt	NA	NA
243	f__Anaeroplasmataceae	10_wt	5_cre	NA	NA
244	f__Anaeroplasmataceae	10_wt	5_wt	NA	NA
245	f__Anaeroplasmataceae	10_wt	7_cre	NA	NA
246	f__Anaeroplasmataceae	10_wt	7_wt	NA	NA
247	f__Anaeroplasmataceae	10_wt	9_cre	NA	NA
248	f__Anaeroplasmataceae	10_wt	9_wt	NA	NA
249	f__Anaeroplasmataceae	12_cre	12_wt	NA	NA
250	f__Anaeroplasmataceae	12_cre	5_cre	NA	NA
251	f__Anaeroplasmataceae	12_cre	5_wt	NA	NA
252	f__Anaeroplasmataceae	12_cre	7_cre	1	1
253	f__Anaeroplasmataceae	12_cre	7_wt	NA	NA
254	f__Anaeroplasmataceae	12_cre	9_cre	NA	NA
255	f__Anaeroplasmataceae	12_cre	9_wt	NA	NA
256	f__Anaeroplasmataceae	12_wt	5_cre	NA	NA
257	f__Anaeroplasmataceae	12_wt	5_wt	NA	NA
258	f__Anaeroplasmataceae	12_wt	7_cre	NA	NA
259	f__Anaeroplasmataceae	12_wt	7_wt	NA	NA
260	f__Anaeroplasmataceae	12_wt	9_cre	NA	NA
261	f__Anaeroplasmataceae	12_wt	9_wt	1	1
262	f__Anaeroplasmataceae	5_cre	5_wt	1	1
263	f__Anaeroplasmataceae	5_cre	7_cre	NA	NA
264	f__Anaeroplasmataceae	5_cre	7_wt	NA	NA
265	f__Anaeroplasmataceae	5_cre	9_cre	1	1
266	f__Anaeroplasmataceae	5_cre	9_wt	NA	NA
267	f__Anaeroplasmataceae	5_wt	7_cre	NA	NA
268	f__Anaeroplasmataceae	5_wt	7_wt	NA	NA
269	f__Anaeroplasmataceae	5_wt	9_cre	0.5	1
270	f__Anaeroplasmataceae	5_wt	9_wt	NA	NA
271	f__Anaeroplasmataceae	7_cre	7_wt	NA	NA
272	f__Anaeroplasmataceae	7_cre	9_cre	NA	NA
273	f__Anaeroplasmataceae	7_cre	9_wt	NA	NA
274	f__Anaeroplasmataceae	7_wt	9_cre	NA	NA
275	f__Anaeroplasmataceae	7_wt	9_wt	NA	NA
276	f__Anaeroplasmataceae	9_cre	9_wt	NA	NA
277	f__Desulfovibrionaceae	 -	- 	0	0
278	f__Desulfovibrionaceae	10_cre	10_wt	0.5	1
279	f__Desulfovibrionaceae	10_cre	12_cre	1	1
280	f__Desulfovibrionaceae	10_cre	12_wt	0.75	1
281	f__Desulfovibrionaceae	10_cre	5_cre	NA	NA
282	f__Desulfovibrionaceae	10_cre	5_wt	1	1
283	f__Desulfovibrionaceae	10_cre	7_cre	1	1
284	f__Desulfovibrionaceae	10_cre	7_wt	1	1
285	f__Desulfovibrionaceae	10_cre	9_cre	NA	NA
286	f__Desulfovibrionaceae	10_cre	9_wt	0.5	1
287	f__Desulfovibrionaceae	10_wt	12_cre	0.75	1
288	f__Desulfovibrionaceae	10_wt	12_wt	1	1
289	f__Desulfovibrionaceae	10_wt	5_cre	NA	NA
290	f__Desulfovibrionaceae	10_wt	5_wt	1	1
291	f__Desulfovibrionaceae	10_wt	7_cre	1	1
292	f__Desulfovibrionaceae	10_wt	7_wt	1	1
293	f__Desulfovibrionaceae	10_wt	9_cre	1	1
294	f__Desulfovibrionaceae	10_wt	9_wt	1	1
295	f__Desulfovibrionaceae	12_cre	12_wt	1	1
296	f__Desulfovibrionaceae	12_cre	5_cre	NA	NA
297	f__Desulfovibrionaceae	12_cre	5_wt	1	1
298	f__Desulfovibrionaceae	12_cre	7_cre	0.5	1
299	f__Desulfovibrionaceae	12_cre	7_wt	1	1
300	f__Desulfovibrionaceae	12_cre	9_cre	1	1
301	f__Desulfovibrionaceae	12_cre	9_wt	1	1
302	f__Desulfovibrionaceae	12_wt	5_cre	NA	NA
303	f__Desulfovibrionaceae	12_wt	5_wt	0.5	1
304	f__Desulfovibrionaceae	12_wt	7_cre	1	1
305	f__Desulfovibrionaceae	12_wt	7_wt	1	1
306	f__Desulfovibrionaceae	12_wt	9_cre	NA	NA
307	f__Desulfovibrionaceae	12_wt	9_wt	0.75	1
308	f__Desulfovibrionaceae	5_cre	5_wt	NA	NA
309	f__Desulfovibrionaceae	5_cre	7_cre	1	1
310	f__Desulfovibrionaceae	5_cre	7_wt	NA	NA
311	f__Desulfovibrionaceae	5_cre	9_cre	NA	NA
312	f__Desulfovibrionaceae	5_cre	9_wt	1	1
313	f__Desulfovibrionaceae	5_wt	7_cre	NA	NA
314	f__Desulfovibrionaceae	5_wt	7_wt	NA	NA
315	f__Desulfovibrionaceae	5_wt	9_cre	NA	NA
316	f__Desulfovibrionaceae	5_wt	9_wt	1	1
317	f__Desulfovibrionaceae	7_cre	7_wt	1	1
318	f__Desulfovibrionaceae	7_cre	9_cre	1	1
319	f__Desulfovibrionaceae	7_cre	9_wt	1	1
320	f__Desulfovibrionaceae	7_wt	9_cre	1	1
321	f__Desulfovibrionaceae	7_wt	9_wt	1	1
322	f__Desulfovibrionaceae	9_cre	9_wt	NA	NA
323	g__Anaeroplasma	 -	- 	0.0206	0.1991
324	g__Anaeroplasma	10_cre	10_wt	NA	NA
325	g__Anaeroplasma	10_cre	12_cre	NA	NA
326	g__Anaeroplasma	10_cre	12_wt	1	1
327	g__Anaeroplasma	10_cre	5_cre	1	1
328	g__Anaeroplasma	10_cre	5_wt	1	1
329	g__Anaeroplasma	10_cre	7_cre	NA	NA
330	g__Anaeroplasma	10_cre	7_wt	NA	NA
331	g__Anaeroplasma	10_cre	9_cre	1	1
332	g__Anaeroplasma	10_cre	9_wt	1	1
333	g__Anaeroplasma	10_wt	12_cre	NA	NA
334	g__Anaeroplasma	10_wt	12_wt	NA	NA
335	g__Anaeroplasma	10_wt	5_cre	NA	NA
336	g__Anaeroplasma	10_wt	5_wt	NA	NA
337	g__Anaeroplasma	10_wt	7_cre	NA	NA
338	g__Anaeroplasma	10_wt	7_wt	NA	NA
339	g__Anaeroplasma	10_wt	9_cre	NA	NA
340	g__Anaeroplasma	10_wt	9_wt	NA	NA
341	g__Anaeroplasma	12_cre	12_wt	NA	NA
342	g__Anaeroplasma	12_cre	5_cre	NA	NA
343	g__Anaeroplasma	12_cre	5_wt	NA	NA
344	g__Anaeroplasma	12_cre	7_cre	1	1
345	g__Anaeroplasma	12_cre	7_wt	NA	NA
346	g__Anaeroplasma	12_cre	9_cre	NA	NA
347	g__Anaeroplasma	12_cre	9_wt	NA	NA
348	g__Anaeroplasma	12_wt	5_cre	NA	NA
349	g__Anaeroplasma	12_wt	5_wt	NA	NA
350	g__Anaeroplasma	12_wt	7_cre	NA	NA
351	g__Anaeroplasma	12_wt	7_wt	NA	NA
352	g__Anaeroplasma	12_wt	9_cre	NA	NA
353	g__Anaeroplasma	12_wt	9_wt	1	1
354	g__Anaeroplasma	5_cre	5_wt	1	1
355	g__Anaeroplasma	5_cre	7_cre	NA	NA
356	g__Anaeroplasma	5_cre	7_wt	NA	NA
357	g__Anaeroplasma	5_cre	9_cre	1	1
358	g__Anaeroplasma	5_cre	9_wt	NA	NA
