	measure	Group1	Group2	pvalue	corrected
1108	o__Burkholderiales	12_wt	7_wt	1	1
1109	o__Burkholderiales	12_wt	9_cre	0.7152	1
1110	o__Burkholderiales	12_wt	9_wt	1	1
1111	o__Burkholderiales	5_cre	5_wt	1	1
1112	o__Burkholderiales	5_cre	7_cre	0.7152	1
1113	o__Burkholderiales	5_cre	7_wt	1	1
1114	o__Burkholderiales	5_cre	9_cre	0.7152	1
1115	o__Burkholderiales	5_cre	9_wt	1	1
1116	o__Burkholderiales	5_wt	7_cre	1	1
1117	o__Burkholderiales	5_wt	7_wt	0.7104	1
1118	o__Burkholderiales	5_wt	9_cre	1	1
1119	o__Burkholderiales	5_wt	9_wt	1	1
1120	o__Burkholderiales	7_cre	7_wt	0.4621	1
1121	o__Burkholderiales	7_cre	9_cre	1	1
1122	o__Burkholderiales	7_cre	9_wt	1	1
1123	o__Burkholderiales	7_wt	9_cre	0.4621	1
1124	o__Burkholderiales	7_wt	9_wt	0.7104	1
1125	o__Burkholderiales	9_cre	9_wt	1	1
1126	o__Clostridiales	10_cre	10_wt	0.1281	1
1127	o__Clostridiales	10_cre	12_cre	0.4621	1
1128	o__Clostridiales	10_cre	12_wt	0.7152	1
1129	o__Clostridiales	10_cre	5_cre	1	1
1130	o__Clostridiales	10_cre	5_wt	1	1
1131	o__Clostridiales	10_cre	7_cre	1	1
1132	o__Clostridiales	10_cre	7_wt	0.4621	1
1133	o__Clostridiales	10_cre	9_cre	1	1
1134	o__Clostridiales	10_cre	9_wt	1	1
1135	o__Clostridiales	10_wt	12_cre	0.6817	1
1136	o__Clostridiales	10_wt	12_wt	0.427	1
1137	o__Clostridiales	10_wt	5_cre	0.1281	1
1138	o__Clostridiales	10_wt	5_wt	0.2451	1
1139	o__Clostridiales	10_wt	7_cre	0.1281	1
1140	o__Clostridiales	10_wt	7_wt	0.6817	1
1141	o__Clostridiales	10_wt	9_cre	0.1281	1
1142	o__Clostridiales	10_wt	9_wt	0.2451	1
1143	o__Clostridiales	12_cre	12_wt	1	1
1144	o__Clostridiales	12_cre	5_cre	0.4621	1
1145	o__Clostridiales	12_cre	5_wt	0.7104	1
1146	o__Clostridiales	12_cre	7_cre	0.4621	1
1147	o__Clostridiales	12_cre	7_wt	1	1
1148	o__Clostridiales	12_cre	9_cre	0.4621	1
1149	o__Clostridiales	12_cre	9_wt	0.7104	1
1150	o__Clostridiales	12_wt	5_cre	0.7152	1
1151	o__Clostridiales	12_wt	5_wt	1	1
1152	o__Clostridiales	12_wt	7_cre	0.7152	1
1153	o__Clostridiales	12_wt	7_wt	1	1
1154	o__Clostridiales	12_wt	9_cre	0.7152	1
1155	o__Clostridiales	12_wt	9_wt	1	1
1156	o__Clostridiales	5_cre	5_wt	1	1
1157	o__Clostridiales	5_cre	7_cre	1	1
1158	o__Clostridiales	5_cre	7_wt	0.4621	1
1159	o__Clostridiales	5_cre	9_cre	1	1
1160	o__Clostridiales	5_cre	9_wt	1	1
1161	o__Clostridiales	5_wt	7_cre	1	1
1162	o__Clostridiales	5_wt	7_wt	0.7104	1
1163	o__Clostridiales	5_wt	9_cre	1	1
1164	o__Clostridiales	5_wt	9_wt	1	1
1165	o__Clostridiales	7_cre	7_wt	0.4621	1
1166	o__Clostridiales	7_cre	9_cre	1	1
1167	o__Clostridiales	7_cre	9_wt	1	1
1168	o__Clostridiales	7_wt	9_cre	0.4621	1
1169	o__Clostridiales	7_wt	9_wt	0.7104	1
1170	o__Clostridiales	9_cre	9_wt	1	1
1171	o__Deferribacterales	10_cre	10_wt	0.5977	1
1172	o__Deferribacterales	10_cre	12_cre	1	1
1173	o__Deferribacterales	10_cre	12_wt	1	1
1174	o__Deferribacterales	10_cre	5_cre	1	1
1175	o__Deferribacterales	10_cre	5_wt	1	1
1176	o__Deferribacterales	10_cre	7_cre	1	1
1177	o__Deferribacterales	10_cre	7_wt	0.5977	1
1178	o__Deferribacterales	10_cre	9_cre	1	1
1179	o__Deferribacterales	10_cre	9_wt	1	1
1180	o__Deferribacterales	10_wt	12_cre	0.3295	1
1181	o__Deferribacterales	10_wt	12_wt	0.3295	1
1182	o__Deferribacterales	10_wt	5_cre	0.5977	1
1183	o__Deferribacterales	10_wt	5_wt	1	1
1184	o__Deferribacterales	10_wt	7_cre	0.5977	1
1185	o__Deferribacterales	10_wt	7_wt	1	1
1186	o__Deferribacterales	10_wt	9_cre	0.5977	1
1187	o__Deferribacterales	10_wt	9_wt	1	1
1188	o__Deferribacterales	12_cre	12_wt	1	1
1189	o__Deferribacterales	12_cre	5_cre	1	1
1190	o__Deferribacterales	12_cre	5_wt	0.6513	1
1191	o__Deferribacterales	12_cre	7_cre	1	1
1192	o__Deferribacterales	12_cre	7_wt	0.3295	1
1193	o__Deferribacterales	12_cre	9_cre	1	1
1194	o__Deferribacterales	12_cre	9_wt	0.6513	1
1195	o__Deferribacterales	12_wt	5_cre	1	1
1196	o__Deferribacterales	12_wt	5_wt	0.6513	1
1197	o__Deferribacterales	12_wt	7_cre	1	1
1198	o__Deferribacterales	12_wt	7_wt	0.3295	1
1199	o__Deferribacterales	12_wt	9_cre	1	1
1200	o__Deferribacterales	12_wt	9_wt	0.6513	1
1201	o__Deferribacterales	5_cre	5_wt	1	1
1202	o__Deferribacterales	5_cre	7_cre	1	1
1203	o__Deferribacterales	5_cre	7_wt	0.5977	1
1204	o__Deferribacterales	5_cre	9_cre	1	1
1205	o__Deferribacterales	5_cre	9_wt	1	1
1206	o__Deferribacterales	5_wt	7_cre	1	1
1207	o__Deferribacterales	5_wt	7_wt	1	1
1208	o__Deferribacterales	5_wt	9_cre	1	1
1209	o__Deferribacterales	5_wt	9_wt	1	1
1210	o__Deferribacterales	7_cre	7_wt	0.5977	1
1211	o__Deferribacterales	7_cre	9_cre	1	1
1212	o__Deferribacterales	7_cre	9_wt	1	1
1213	o__Deferribacterales	7_wt	9_cre	0.5977	1
1214	o__Deferribacterales	7_wt	9_wt	1	1
1215	o__Deferribacterales	9_cre	9_wt	1	1
1216	o__Desulfovibrionales	10_cre	10_wt	1	1
1217	o__Desulfovibrionales	10_cre	12_cre	1	1
1218	o__Desulfovibrionales	10_cre	12_wt	1	1
1219	o__Desulfovibrionales	10_cre	5_cre	1	1
1220	o__Desulfovibrionales	10_cre	5_wt	1	1
1221	o__Desulfovibrionales	10_cre	7_cre	1	1
1222	o__Desulfovibrionales	10_cre	7_wt	1	1
1223	o__Desulfovibrionales	10_cre	9_cre	0.5977	1
1224	o__Desulfovibrionales	10_cre	9_wt	1	1
1225	o__Desulfovibrionales	10_wt	12_cre	1	1
1226	o__Desulfovibrionales	10_wt	12_wt	1	1
1227	o__Desulfovibrionales	10_wt	5_cre	1	1
1228	o__Desulfovibrionales	10_wt	5_wt	1	1
1229	o__Desulfovibrionales	10_wt	7_cre	1	1
1230	o__Desulfovibrionales	10_wt	7_wt	1	1
1231	o__Desulfovibrionales	10_wt	9_cre	0.5977	1
1232	o__Desulfovibrionales	10_wt	9_wt	1	1
1233	o__Desulfovibrionales	12_cre	12_wt	1	1
1234	o__Desulfovibrionales	12_cre	5_cre	1	1
1235	o__Desulfovibrionales	12_cre	5_wt	1	1
1236	o__Desulfovibrionales	12_cre	7_cre	1	1
1237	o__Desulfovibrionales	12_cre	7_wt	1	1
1238	o__Desulfovibrionales	12_cre	9_cre	0.5977	1
1239	o__Desulfovibrionales	12_cre	9_wt	1	1
1240	o__Desulfovibrionales	12_wt	5_cre	0.6513	1
1241	o__Desulfovibrionales	12_wt	5_wt	0.6513	1
1242	o__Desulfovibrionales	12_wt	7_cre	1	1
1243	o__Desulfovibrionales	12_wt	7_wt	0.6513	1
1244	o__Desulfovibrionales	12_wt	9_cre	0.3295	1
1245	o__Desulfovibrionales	12_wt	9_wt	1	1
1246	o__Desulfovibrionales	5_cre	5_wt	1	1
1247	o__Desulfovibrionales	5_cre	7_cre	1	1
1248	o__Desulfovibrionales	5_cre	7_wt	1	1
1249	o__Desulfovibrionales	5_cre	9_cre	1	1
1250	o__Desulfovibrionales	5_cre	9_wt	0.6513	1
1251	o__Desulfovibrionales	5_wt	7_cre	1	1
1252	o__Desulfovibrionales	5_wt	7_wt	1	1
1253	o__Desulfovibrionales	5_wt	9_cre	1	1
1254	o__Desulfovibrionales	5_wt	9_wt	0.6513	1
1255	o__Desulfovibrionales	7_cre	7_wt	1	1
1256	o__Desulfovibrionales	7_cre	9_cre	0.5977	1
1257	o__Desulfovibrionales	7_cre	9_wt	1	1
1258	o__Desulfovibrionales	7_wt	9_cre	1	1
1259	o__Desulfovibrionales	7_wt	9_wt	0.6513	1
1260	o__Desulfovibrionales	9_cre	9_wt	0.3295	1
1261	o__Erysipelotrichales	10_cre	10_wt	0.3295	0.9267
1262	o__Erysipelotrichales	10_cre	12_cre	0.0996	0.3201
1263	o__Erysipelotrichales	10_cre	12_wt	0.0996	0.3201
