	measure	Group1	Group2	pvalue	corrected
311	OTU_24	5_cre	9_cre	1	1
312	OTU_24	5_cre	9_wt	0.5	1
313	OTU_24	5_wt	7_cre	0.5	1
314	OTU_24	5_wt	7_wt	0.5	1
315	OTU_24	5_wt	9_cre	1	1
316	OTU_24	5_wt	9_wt	0.875	1
317	OTU_24	7_cre	7_wt	NA	NA
318	OTU_24	7_cre	9_cre	1	1
319	OTU_24	7_cre	9_wt	1	1
320	OTU_24	7_wt	9_cre	1	1
321	OTU_24	7_wt	9_wt	1	1
322	OTU_24	9_cre	9_wt	1	1
323	OTU_101	 -	- 	0.0183	0.0722
324	OTU_101	10_cre	10_wt	NA	NA
325	OTU_101	10_cre	12_cre	1	1
326	OTU_101	10_cre	12_wt	NA	NA
327	OTU_101	10_cre	5_cre	1	1
328	OTU_101	10_cre	5_wt	1	1
329	OTU_101	10_cre	7_cre	NA	NA
330	OTU_101	10_cre	7_wt	1	1
331	OTU_101	10_cre	9_cre	NA	NA
332	OTU_101	10_cre	9_wt	NA	NA
333	OTU_101	10_wt	12_cre	NA	NA
334	OTU_101	10_wt	12_wt	NA	NA
335	OTU_101	10_wt	5_cre	NA	NA
336	OTU_101	10_wt	5_wt	NA	NA
337	OTU_101	10_wt	7_cre	NA	NA
338	OTU_101	10_wt	7_wt	NA	NA
339	OTU_101	10_wt	9_cre	NA	NA
340	OTU_101	10_wt	9_wt	NA	NA
341	OTU_101	12_cre	12_wt	NA	NA
342	OTU_101	12_cre	5_cre	1	1
343	OTU_101	12_cre	5_wt	0.25	1
344	OTU_101	12_cre	7_cre	NA	NA
345	OTU_101	12_cre	7_wt	1	1
346	OTU_101	12_cre	9_cre	0.5	1
347	OTU_101	12_cre	9_wt	1	1
348	OTU_101	12_wt	5_cre	NA	NA
349	OTU_101	12_wt	5_wt	NA	NA
350	OTU_101	12_wt	7_cre	NA	NA
351	OTU_101	12_wt	7_wt	NA	NA
352	OTU_101	12_wt	9_cre	NA	NA
353	OTU_101	12_wt	9_wt	NA	NA
354	OTU_101	5_cre	5_wt	1	1
355	OTU_101	5_cre	7_cre	NA	NA
356	OTU_101	5_cre	7_wt	NA	NA
357	OTU_101	5_cre	9_cre	0.5	1
358	OTU_101	5_cre	9_wt	1	1
359	OTU_101	5_wt	7_cre	NA	NA
360	OTU_101	5_wt	7_wt	1	1
361	OTU_101	5_wt	9_cre	0.75	1
362	OTU_101	5_wt	9_wt	1	1
363	OTU_101	7_cre	7_wt	NA	NA
364	OTU_101	7_cre	9_cre	NA	NA
365	OTU_101	7_cre	9_wt	NA	NA
366	OTU_101	7_wt	9_cre	NA	NA
367	OTU_101	7_wt	9_wt	NA	NA
368	OTU_101	9_cre	9_wt	1	1
