	measure	Group1	Group2	pvalue	corrected
190	OTU_5	10_wt	12_cre	0.6817	1
191	OTU_5	10_wt	12_wt	1	1
192	OTU_5	10_wt	5_cre	0.1281	1
193	OTU_5	10_wt	5_wt	0.2451	1
194	OTU_5	10_wt	7_cre	0.1281	1
195	OTU_5	10_wt	7_wt	0.6817	1
196	OTU_5	10_wt	9_cre	0.2451	1
197	OTU_5	10_wt	9_wt	0.2451	1
198	OTU_5	12_cre	12_wt	1	1
199	OTU_5	12_cre	5_cre	0.4621	1
200	OTU_5	12_cre	5_wt	0.7104	1
201	OTU_5	12_cre	7_cre	0.4621	1
202	OTU_5	12_cre	7_wt	1	1
203	OTU_5	12_cre	9_cre	0.7104	1
204	OTU_5	12_cre	9_wt	0.7104	1
205	OTU_5	12_wt	5_cre	0.2635	1
206	OTU_5	12_wt	5_wt	0.4497	1
207	OTU_5	12_wt	7_cre	0.2635	1
208	OTU_5	12_wt	7_wt	1	1
209	OTU_5	12_wt	9_cre	0.4497	1
210	OTU_5	12_wt	9_wt	0.4497	1
211	OTU_5	5_cre	5_wt	1	1
212	OTU_5	5_cre	7_cre	1	1
213	OTU_5	5_cre	7_wt	0.4621	1
214	OTU_5	5_cre	9_cre	1	1
215	OTU_5	5_cre	9_wt	1	1
216	OTU_5	5_wt	7_cre	1	1
217	OTU_5	5_wt	7_wt	0.7104	1
218	OTU_5	5_wt	9_cre	1	1
219	OTU_5	5_wt	9_wt	1	1
220	OTU_5	7_cre	7_wt	0.4621	1
221	OTU_5	7_cre	9_cre	1	1
222	OTU_5	7_cre	9_wt	1	1
223	OTU_5	7_wt	9_cre	0.7104	1
224	OTU_5	7_wt	9_wt	0.7104	1
225	OTU_5	9_cre	9_wt	1	1
226	OTU_4	10_cre	10_wt	0.0142	0.3195
227	OTU_4	10_cre	12_cre	0.4621	0.9902
228	OTU_4	10_cre	12_wt	0.2635	0.9121
229	OTU_4	10_cre	5_cre	1	1
230	OTU_4	10_cre	5_wt	0.7152	1
231	OTU_4	10_cre	7_cre	1	1
232	OTU_4	10_cre	7_wt	0.1281	0.8235
233	OTU_4	10_cre	9_cre	1	1
234	OTU_4	10_cre	9_wt	0.4621	0.9902
235	OTU_4	10_wt	12_cre	0.1686	0.843
236	OTU_4	10_wt	12_wt	0.3295	0.9902
237	OTU_4	10_wt	5_cre	0.0352	0.396
238	OTU_4	10_wt	5_wt	0.0801	0.7209
239	OTU_4	10_wt	7_cre	0.0352	0.396
240	OTU_4	10_wt	7_wt	0.5977	1
241	OTU_4	10_wt	9_cre	0.0142	0.3195
242	OTU_4	10_wt	9_wt	0.1686	0.843
243	OTU_4	12_cre	12_wt	1	1
244	OTU_4	12_cre	5_cre	0.7104	1
245	OTU_4	12_cre	5_wt	1	1
246	OTU_4	12_cre	7_cre	0.7104	1
247	OTU_4	12_cre	7_wt	0.6817	1
248	OTU_4	12_cre	9_cre	0.4621	0.9902
249	OTU_4	12_cre	9_wt	1	1
250	OTU_4	12_wt	5_cre	0.4497	0.9902
251	OTU_4	12_wt	5_wt	0.6999	1
252	OTU_4	12_wt	7_cre	0.4497	0.9902
253	OTU_4	12_wt	7_wt	1	1
254	OTU_4	12_wt	9_cre	0.2635	0.9121
255	OTU_4	12_wt	9_wt	1	1
256	OTU_4	5_cre	5_wt	1	1
257	OTU_4	5_cre	7_cre	1	1
258	OTU_4	5_cre	7_wt	0.2451	0.9121
259	OTU_4	5_cre	9_cre	1	1
260	OTU_4	5_cre	9_wt	0.7104	1
261	OTU_4	5_wt	7_cre	1	1
262	OTU_4	5_wt	7_wt	0.427	0.9902
263	OTU_4	5_wt	9_cre	0.7152	1
