	Richness	Shannon.effective	Simpson.effective	OTU_1	OTU_5	OTU_4	OTU_2	OTU_41	OTU_31	OTU_39	OTU_23	OTU_9	OTU_20	OTU_17	OTU_12	OTU_10	OTU_19	OTU_11	OTU_57	OTU_54	OTU_46	OTU_14	OTU_30	OTU_15	OTU_69	OTU_16	OTU_67	OTU_33	OTU_18	OTU_6	OTU_26	OTU_24	OTU_101	OTU_538	OTU_126	OTU_43	OTU_62	OTU_25	OTU_64	OTU_29	OTU_13	OTU_56	OTU_49	OTU_7	OTU_42	OTU_55	OTU_92	OTU_8	OTU_66	OTU_65	OTU_195	OTU_180	OTU_32	OTU_28	OTU_68	OTU_48	OTU_86	OTU_75	OTU_397	OTU_74	OTU_93	OTU_77	OTU_88	OTU_37	OTU_127	OTU_38	OTU_94	OTU_51	OTU_36	OTU_34	OTU_3	OTU_53	OTU_22	OTU_281	OTU_27	OTU_58	OTU_44
63.192.12	172	78.77	45.07	5.176505488	NA	NA	1.705725304	NA	NA	NA	0.548798576	0.964105607	NA	NA	0.682290122	NA	NA	0.845446455	NA	NA	0.697122516	1.305250667	NA	0.756452091	NA	0.904776031	0.519133788	NA	NA	0.726787303	0.533966182	1.646395728	NA	0.63779294	NA	0.622960546	NA	NA	NA	1.809552062	NA	NA	0.519133788	NA	NA	NA	NA	3.604271729	0.533966182	NA	NA	NA	0.889943637	6.318599822	0.697122516	NA	1.216256304	NA	NA	NA	NA	0.533966182	1.512904183	NA	2.239691486	NA	NA	1.142094334	4.078908336	NA	3.811925245	NA	NA	NA	0.533966182	NA	1.409077425
14.195.5	159	76.66	43.6	8	2.810126582	3.037974684	4.974683544	0.506329114	NA	NA	0.53164557	1.556962025	0.898734177	NA	0.772151899	4.215189873	1.291139241	1.53164557	2.088607595	NA	0.886075949	2.253164557	1.379746835	NA	1.075949367	NA	NA	2.417721519	NA	0.708860759	2.164556962	0.670886076	0.911392405	1.493670886	NA	2.075949367	NA	1.481012658	NA	NA	3.835443038	NA	NA	0.569620253	NA	NA	NA	0.506329114	NA	NA	NA	NA	0.518987342	0.810126582	0.569620253	NA	NA	0.962025316	0.784810127	NA	1.012658228	NA	NA	NA	NA	NA	0.556962025	NA	1.139240506	2.924050633	4.164556962	0.569620253	NA	1.341772152	1.227848101	1.759493671	NA
30.186.9	152	61.03	30.02	11.66580445	NA	4.630108639	6.867563373	0.944128298	2.70305225	1.267459907	1.422659079	2.521986549	NA	NA	2.146921883	4.061045008	0.633729953	NA	3.41438179	NA	NA	NA	0.569063632	0.59493016	1.034661148	0.827728919	NA	0.944128298	NA	5.2250388	0.775995861	0.607863425	NA	NA	0.918261769	2.806518365	NA	NA	NA	1.319192964	1.254526643	NA	NA	2.121055354	NA	1.51319193	0.737196068	0.71132954	NA	NA	NA	1.487325401	NA	0.581996896	1.3062597	NA	NA	NA	NA	NA	NA	NA	1.176927056	0.750129333	NA	0.685463011	NA	NA	NA	NA	0.788929126	NA	NA	NA	NA	NA	NA
35.203.9	159	71.91	35.02	4.440612201	2.39275706	2.608320759	11.04763958	0.743694762	0.560465618	NA	1.476611339	0.754472947	0.700582022	5.141194223	1.358051304	4.76395775	NA	NA	1.940073292	0.592800172	NA	NA	NA	NA	0.765251132	1.056262125	0.722138392	0.679025652	1.099374865	0.819142056	0.786807502	1.907738737	0.797585687	NA	NA	1.627505928	0.862254796	0.948480276	NA	NA	2.080189696	0.700582022	1.767622332	1.983186031	NA	1.304160379	NA	1.19637853	NA	NA	NA	NA	0.829920241	NA	NA	NA	0.506574693	NA	NA	NA	NA	0.517352878	NA	NA	NA	0.679025652	NA	NA	NA	NA	NA	NA	NA	NA	4.785514119	0.948480276	NA
6.203.5	160	67.45	36.13	6.243818002	1.965875371	3.412462908	9.174085064	NA	NA	NA	1.978239367	1.471315529	NA	NA	1.446587537	1.84223541	0.519287834	NA	1.18694362	NA	0.53165183	1.00148368	1.038575668	NA	NA	2.608803165	NA	1.829871414	0.729475767	2.114243323	3.264094955	0.568743818	NA	0.53165183	NA	1.088031652	0.877843719	1.520771513	NA	2.163699308	3.573194857	NA	NA	1.582591494	NA	NA	NA	5.576162216	NA	NA	NA	NA	1.335311573	NA	NA	NA	NA	NA	4.599406528	NA	NA	NA	NA	NA	NA	NA	NA	0.667655786	NA	NA	NA	0.741839763	NA	NA	NA	NA	NA
36.213.9	144	49.45	21.52	8.349246764	3.45851899	7.765754297	3.00233397	0.583492468	1.357946107	2.143008699	0.954805856	1.113940165	1.729259495	0.997241672	0.763844685	7.818799066	0.976023764	NA	NA	NA	NA	NA	0.678973053	1.145767027	NA	0.583492468	NA	0.785062593	0.91237004	NA	NA	NA	1.060895396	NA	NA	NA	1.538298324	1.060895396	NA	0.774453639	3.384256312	0.763844685	NA	NA	NA	NA	NA	NA	0.625928283	NA	NA	NA	0.668364099	14.10990876	NA	NA	0.732017823	0.678973053	0.636537237	NA	NA	NA	1.060895396	NA	NA	NA	NA	0.732017823	0.604710376	NA	NA	NA	NA	NA	NA	NA	NA
8.218.5	150	68.32	36.92	9.041706463	6.335561923	2.562878064	5.842088507	1.066539319	3.263291945	3.693091372	1.719197708	1.798790194	1.512257243	NA	1.289398281	3.709009869	0.748169373	NA	1.52817574	1.209805794	0.620821394	0.971028335	1.368990767	3.565743394	0.986946832	NA	NA	1.496338746	1.575931232	0.700413881	1.018783827	0.748169373	1.814708691	0.5889844	NA	0.541228908	1.193887297	NA	NA	1.050620821	1.193887297	NA	0.525310411	1.623686724	NA	NA	NA	1.321235275	NA	0.748169373	NA	NA	1.00286533	2.069404648	0.604902897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.652658389	NA	NA	NA	NA	NA	NA	0.557147405	NA	NA	NA	0.76408787
57.193.12	152	67.73	37.31	4.045991973	3.481939473	7.755721879	4.403948368	0.650829808	2.831109665	2.679249376	0.911161731	1.106410674	0.932856058	NA	1.128105001	4.826987743	1.529450049	2.299598655	0.661676971	NA	NA	NA	NA	2.288751491	0.759301443	NA	0.585746827	NA	1.757240482	NA	NA	NA	3.416856492	NA	NA	NA	2.169432693	2.635860722	NA	1.269118126	7.137433561	NA	NA	NA	NA	NA	0.520663846	NA	NA	NA	NA	NA	0.976244712	NA	NA	2.039266732	1.442672741	1.06302202	NA	NA	NA	0.661676971	1.301659616	NA	NA	NA	NA	NA	NA	NA	NA	0.976244712	NA	NA	NA	NA	NA
46.188.10	150	50.15	18.93	7.027818448	5.856515373	2.562225476	5.710102489	1.098096633	3.074670571	2.928257687	1.244509517	2.415812592	1.244509517	0.512445095	0.512445095	18.52122987	0.805270864	0.732064422	1.02489019	1.244509517	NA	NA	NA	1.244509517	0.732064422	1.610541728	0.65885798	1.244509517	1.464128843	0.512445095	NA	NA	0.951683748	NA	0.732064422	0.512445095	0.732064422	0.512445095	NA	0.65885798	NA	NA	1.098096633	NA	NA	NA	NA	NA	0.878477306	NA	NA	0.512445095	0.512445095	0.65885798	1.903367496	NA	NA	NA	NA	NA	NA	NA	0.585651537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16.186.7	131	48.23	20.94	14.26682533	3.094010313	NA	12.08515139	0.647891049	1.930450879	0.568557451	0.515668386	3.5700119	0.60822425	NA	0.542112918	2.366785667	1.467671559	NA	2.03622901	NA	NA	NA	1.904006347	NA	0.806558244	NA	NA	0.568557451	0.542112918	NA	1.983339944	NA	NA	NA	NA	1.983339944	0.740446913	1.361893429	NA	NA	NA	NA	1.269337564	5.526907312	0.581779717	NA	0.502446119	NA	NA	NA	NA	2.512230596	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.634668782	NA	NA	NA	1.414782494	NA	0.568557451	NA	NA	NA	NA	NA	NA	1.018114505	NA	NA
4.190.5	142	48.92	25.61	6.793618116	5.39114771	0.952135872	5.481214617	0.720535255	11.42563047	7.514153371	1.672671127	1.96860525	0.759135358	NA	1.775604735	3.692743181	3.499742666	1.44107051	1.595470921	4.130211014	NA	1.96860525	1.646937725	NA	0.65620175	0.566134843	NA	1.556870818	2.264539372	1.106536284	2.097272259	NA	NA	1.042202779	NA	2.071538857	0.501801338	0.746268657	NA	0.733401956	NA	NA	NA	0.669068451	NA	0.810602162	NA	0.977869274	NA	1.029336078	NA	NA	NA	1.119402985	NA	NA	NA	NA	0.900669068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66.196.12	187	81.67	40.16	9.367550133	1.360258028	4.908147525	5.146543262	0.729210489	NA	NA	0.855419997	3.379610153	0.771280325	0.785303604	0.51886131	3.561912775	NA	0.546907867	NA	NA	NA	3.421679989	NA	1.4443977	0.603000982	NA	0.939559669	1.374281307	0.771280325	1.03772262	1.65474688	1.065769177	NA	1.823026224	NA	0.757257047	NA	NA	0.61702426	0.603000982	1.079792455	NA	NA	0.687140653	NA	NA	NA	0.673117375	NA	NA	0.532884588	NA	NA	1.893142617	NA	0.532884588	NA	NA	NA	0.841396719	0.61702426	NA	NA	2.089468518	NA	NA	NA	NA	2.622353106	1.206001963	4.403309494	NA	NA	1.865096059	NA	NA	0.504838031
