#OTUId	31.188.9	54.194.10	13.194.5	64.194.12	39.187.9	65.195.12	25.187.7	18.189.7	19.190.7	12.192.5	3.189.5	7.213.5	1.186.5	47.189.10	51.213.10	23.218.7	55.195.10	34.193.9	15.196.5	22.213.7	63.192.12	14.195.5	30.186.9	35.203.9	6.203.5	36.213.9	8.218.5	57.193.12	46.188.10	16.186.7	4.190.5	66.196.12	50.203.10	44.196.9	10.187.5	21.203.7	38.185.9	61.185.12	58.203.12	29.196.7	9.185.5	11.191.5	56.188.12	43.195.9	45.186.10	5.193.5	24.185.7	52.218.10	37.218.9	48.190.10	41.192.9	40.191.9	28.195.7	17.188.7	2.188.5	53.191.10	62.191.12	59.213.12	32.189.9	42.194.9	49.193.10	33.190.9	20.193.7	27.192.7	60.218.12	taxonomy
OTU_89	2	111	1	20	49	38	9	0	0	43	2	0	0	0	0	0	8	5	2	0	50	1	0	0	0	0	89	22	1	0	0	21	17	17	0	0	12	9	15	28	10	6	84	6	1	0	1	0	1	0	44	3	8	0	41	29	3	0	0	52	41	0	0	18	80	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;
OTU_171	1	0	1	0	5	7	7	3	1	0	0	0	2	2	2	12	1	1	4	0	0	2	0	1	1	4	1	1	1	2	1	3	0	2	0	11	1	4	2	4	2	3	0	1	2	8	0	0	0	3	0	9	7	0	3	7	3	6	2	3	0	3	9	5	5	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;
OTU_332	1	0	2	0	1	1	3	5	17	0	0	4	2	0	0	0	2	0	4	3	0	1	14	4	1	1	0	1	2	7	3	0	8	0	0	0	3	1	19	2	1	1	2	2	21	0	0	1	3	23	0	6	0	1	0	1	0	0	13	2	3	50	0	0	1	Bacteria;Proteobacteria;Deltaproteobacteria;;;;
OTU_1690	1	0	27	0	16	0	3	0	0	6	3	1	2	0	4	26	0	5	3	0	6	0	0	0	1	4	0	0	2	0	3	1	16	0	2	4	0	0	2	0	0	0	4	0	6	13	0	0	0	0	0	0	0	7	6	3	1	2	1	7	1	0	0	9	5	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;
OTU_173	1	1	1	0	0	1	1	10	2	0	2	0	1	0	0	0	0	1	0	0	1	0	7	0	0	0	0	0	0	89	2	0	2	1	0	27	0	5	0	0	0	2	1	3	0	0	0	0	0	2	0	1	0	3	1	1	1	2	0	3	0	13	8	2	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_506	1	6	5	2	1	8	4	0	0	19	14	0	4	0	3	15	19	4	0	10	0	14	0	5	62	13	0	2	1	1	12	4	17	0	3	5	0	0	12	2	0	2	26	0	0	9	3	9	1	11	2	0	2	6	6	4	1	6	11	13	6	0	1	17	2	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_184	1	7	6	3	8	3	5	1	2	4	0	0	2	7	0	2	6	43	2	6	5	1	2	3	19	2	1	37	0	3	0	5	17	3	2	1	4	2	4	1	4	0	4	3	0	0	0	4	0	1	18	3	3	11	3	1	4	2	3	4	19	0	0	7	17	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
OTU_139	1	19	26	1	23	8	0	2	22	8	0	4	1	1	3	33	53	13	2	8	15	9	2	2	1	5	3	15	3	6	2	1	18	1	8	3	6	3	15	7	1	3	39	15	0	21	4	5	7	4	18	3	11	13	0	6	0	0	0	32	5	2	0	7	10	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;;
OTU_3	0	750	408	313	542	419	192	23	561	211	1	0	202	38	0	0	591	1	92	60	257	329	61	27	0	2	19	16	1	2	25	314	155	238	348	1	10	763	324	199	78	78	77	582	20	0	14	24	0	153	251	130	300	30	0	3	3	33	83	768	3	278	0	327	27	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_53	0	303	79	93	13	0	8	1	0	13	60	1	53	0	6	12	44	184	75	3	0	45	0	4	60	2	4	90	0	0	24	8	252	87	56	22	1	31	2	4	2	11	173	9	0	8	8	1	0	0	123	44	1	4	1	0	17	6	2	15	72	0	15	1	5	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_22	0	92	0	19	112	150	76	0	290	84	17	0	55	0	0	1	28	9	3	0	13	7	14	21	28	1	35	0	0	0	17	14	132	31	98	0	165	314	224	44	73	34	6	255	8	5	0	6	3	30	26	28	5	0	9	44	10	21	3	228	0	162	0	315	1	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
OTU_358	0	41	11	16	98	11	40	4	2	6	15	0	13	6	0	1	9	2	3	3	44	3	1	43	0	9	7	15	1	2	0	25	52	11	16	0	137	21	17	10	61	11	8	56	48	3	36	1	5	23	16	29	1	11	19	37	71	2	23	30	6	4	1	5	12	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_281	0	45	21	34	63	60	53	0	0	81	3	23	170	0	20	2	32	17	138	0	13	106	0	1	4	10	3	18	1	0	17	133	2	51	82	17	40	76	5	31	30	27	0	61	0	5	0	0	0	0	35	31	25	1	7	25	43	27	0	49	32	0	12	47	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
